#,Term,Form IDs,Full Form / Meaning,Category,Why Confusing for International Users,Localization Recommendation
1,HSE,40082,Health Safety and Environment,Organizational,Commonly used English abbreviation; may not be recognized by non-English speakers.,Provide glossary entry; spell out as Health Safety and Environment on first use.
2,QA/QC,40082,Quality Assurance / Quality Control,Organizational,Standard abbreviation with different meanings across industries and ISO vs construction contexts.,Define as Quality Assurance / Quality Control on first use; check industry-specific definitions in target language.
3,PPE,"40082, 51154, 51179, 51180, 51189",Personal Protective Equipment,Technical,Common in safety contexts but specific to English; regulated types of PPE differ by country.,Define clearly as Personal Protective Equipment with examples relevant to the industry sector.
4,WIP,51137,Work In Progress,General,Used in accounting and project management; may be ambiguous if translator is unfamiliar with construction/manufacturing terminology.,Expand to Work In Progress and clarify it refers to incomplete projects in financial statements.
5,AUVA,Multiple Austrian forms,Allgemeine Unfallversicherungsanstalt (Austrian Workers' Compensation / Occupational Insurance Body),Organizational,Austrian-specific institution with no direct equivalent in most other countries; essential context for compliance.,Provide full name and explain as Austrian workers compensation occupational insurance body.
6,ÖNORM,Multiple Austrian forms,Austrian National Standards (Österreichisches Normungskomitee),Organizational,Austrian national standards body; country-specific; non-Austrian users may not recognize authority.,Explain as Austrian National Standards and link to ISO/EN equivalents where applicable.
7,NDT / NDE,51136,Nondestructive Testing / Nondestructive Evaluation,Technical,Engineering abbreviation; terms may have specific regulatory meanings in different jurisdictions.,Define both terms and clarify distinction in target language with examples.
8,LEL,51158,Lower Explosion Limit (also: Lower Explosive Limit),Technical,Critical safety threshold for hazardous atmospheres; term varies by standard (ATEX EU vs IEC vs NFPA).,Define precisely with reference to relevant standard; specify measurement units (% by volume or ppm).
9,SCBA,51168,Self-Contained Breathing Apparatus,Technical,Specialized hyperbaric/diving equipment; different equipment standards exist across EN / ISO / NFPA.,Define fully; clarify distinction from other respiratory protection equipment.
10,kp/cm²,51168,Kiloponds per square centimeter (unit of pressure),Technical,Austrian/Central European unit; most of the world uses bar or Pascal or PSI. Critical for hyperbaric safety limits.,Convert to universally recognized units (bar and Pa and PSI) with equivalencies shown.
11,m³/min,51152,Cubic meters per minute (volumetric airflow measurement),Technical,European volumetric unit; North America commonly uses CFM (cubic feet per minute).,Provide conversion; show both units for underground mining/ventilation specifications.
12,dBA,"51176, 51187",Decibels A-weighted (occupational noise measurement scale),Technical,Specific acoustic measurement scale; A-weighting defined by IEC 61672 but exposure limit thresholds differ by country.,Define as A-weighted decibels; explain why this scale is used for occupational noise assessment.
13,EMF,51155,Electromagnetic Fields,Technical,Regulatory term specific to EU Directive 2013/35/EU; different regulations govern EMF exposure in non-EU countries.,Define as Electromagnetic Fields and reference applicable standard (EU Directive / ICNIRP / national).
14,MAK,51163,Maximale Arbeitsplatz-Konzentration (Maximum Workplace Concentration – Austrian/German exposure limit),Technical,Austrian/German regulatory standard for airborne substance exposure; not comparable to OSHA PEL or other national limits.,Explain as Austrian/German occupational exposure limit and cross-reference to US/EU equivalents.
15,TRK,51163,Toleranzkonzentration (Threshold Concentration for Carcinogens – German standard),Technical,German/Austrian occupational standard for carcinogenic substance exposure; uniquely German; most countries use different carcinogen classification systems.,Define as German carcinogen threshold limit; cross-reference to IARC classification and target country standard.
16,CLP,51163,Classification Labeling and Packaging Regulation (EU 1272/2008),Regulatory,EU-specific chemical safety regulation; US uses GHS via HazCom; other countries vary significantly.,Clarify this is an EU regulation; identify equivalent chemical hazard communication system in target country.
17,CMR substances,51164,Carcinogenic Mutagenic or Reprotoxic substances (EU CLP classification),Technical,EU classification under CLP Regulation; regulatory approach and substance lists vary significantly by country.,Define each component; clarify regulatory framework (EU REACH/CLP) and note differences for target countries.
18,REACH,51163,"Registration Evaluation Authorisation and Restriction of Chemicals (EC 1907/2006, EU)",Regulatory,EU-specific chemical regulation; US equivalent is TSCA; other countries have separate systems.,Explain as EU chemical regulation; identify equivalent regulatory system for target country.
19,Quartz / Respirable Crystalline Silica,"51139, 51152",Silicon dioxide (SiO₂) – fine particles causing silicosis; classified occupational carcinogen,Technical,Exposure limits vary: Austria prohibits >2% quartz in abrasives; EU OEL 0.05 mg/m³; US OSHA 0.025 mg/m³.,Define particle size; provide applicable exposure limits for all target countries; specify measurement methods.
20,mSv,51171,Millisieverts – unit of ionizing radiation effective dose,Technical,International SI unit; critical for radiation safety limits which vary by national authority (1–20 mSv/year).,Define unit; provide regulatory context and note that annual dose limits vary by country.
21,Confined spaces,51141,Enclosed/partially enclosed spaces not designed for continuous occupancy with restricted entry/exit,Technical,Definition and permit categories vary internationally (OSHA: permit-required vs non-permit; EU varies by member state).,Provide definition from Austrian standard; clarify types (containers / pits / shafts) and required precautions.
22,Permit entry order,51141,Written authorization document required before entry into confined spaces (Austrian terminology),Procedural,Terminology varies: US OSHA uses permit-to-work; UK uses entry permit; other countries have different document names.,Explain as formal written work authorization document; clarify who issues it and what it must contain.
23,Labor inspectorate,"51139, 51148, 51164",Government occupational safety inspection authority (Arbeitsinspektorat in Austria),Organizational,Each country has a different name and structure: HSE (UK) / OSHA (US) / DGUV (Germany) / varies globally.,Identify the specific authority for target country; clarify notification requirements and responsibilities.
24,BGV,Implicit in multiple forms,Berufsgenossenschaftliche Vorschriften – German occupational accident insurance regulations,Organizational,German/Austrian system; most countries have entirely different occupational safety regulatory bodies and standards.,Clarify that BGV is German; identify Austrian equivalent (AUVA) and country equivalents for target languages.
25,Shoring,51157,Temporary or permanent support structures for excavation walls (trench safety),Technical,Techniques and regulatory requirements vary by soil type and excavation depth; 1.25 m threshold is Austria-specific.,Define with examples; clarify difference from sloping; specify depth thresholds per Austrian and target country standards.
26,Oxygen deficiency,"51141, 51152",Insufficient oxygen concentration in enclosed spaces (below regulatory threshold; typically <19.5%),Technical,Specific oxygen percentage thresholds vary by country and regulation; measurement equipment standards also vary.,Define threshold percentage; specify measurement requirements and corrective actions per Austrian and target standards.
27,Fall height,"51160, 51184",Vertical distance triggering mandatory fall protection (threshold varies by regulation),Technical,Austria: 1 m for walls/stairs / 2 m for workplaces; US OSHA: 4–6 ft (1.2–1.8 m) depending on sector; EU varies by member state.,Specify exact thresholds in meters for Austrian regulations and note significant variations in other countries.
28,Guardrails,"51160, 51150",Fixed perimeter safety barriers preventing falls (design specs vary internationally),Technical,Height and structural strength requirements differ by country standard (ÖNORM / EN / ISO / ANSI/OSHA).,Define required dimensions and materials; reference applicable standard; provide diagrams or examples.
29,Explosive atmospheres / ATEX,"51158, 51152",Mixtures of air and flammable substances that can ignite; governed by EU ATEX Directive 2014/34/EU,Regulatory,EU ATEX Directive defines zone classification; non-EU countries use different standards (IEC 60079 / NFPA 70E / national).,Define explosion zones (0/1/2/20/21/22); reference ATEX and note international equivalents for target country.
30,Abrasives,51139,Materials used for surface cleaning/preparation (sand / steel grit / garnet); silica content governs respiratory hazard,Technical,Quartz content rules vary: Austria prohibits >2% silica in blasting abrasives; EU and other countries have different limits.,Specify silica content regulations for target country; detail approved substitute abrasives (garnet / steel shot).
31,Excavation depth 1.25 m,51157,Austrian regulatory threshold below which protective measures become mandatory for excavations,Technical,Austria-specific threshold from Construction Workers Protection Ordinance; US uses 5 ft (1.5 m); EU varies by member state.,State specifically: in Austria excavations deeper than 1.25 m require protective measures; note other countries thresholds.
32,Geosphere heat warning level,51166,Austrian meteorological heat stress alert system (Levels 1–4) triggering occupational health interventions,Regulatory,Unique to Austria; most countries use heat index / wet bulb globe temperature / national weather service warnings.,Explain Austrian alert level system; provide equivalent heat stress criteria or indices for target countries.
33,Lock keeper,51168,Designated person controlling access to pressurized air or hyperbaric chamber (diving operations),Procedural,Role terminology varies: dive master / tender / supervisor in other countries; responsibilities and qualifications differ.,Define responsibilities and clarify qualifications and training required; note equivalent role in target country.
34,Hydrostatic testing,51168,Pressure vessel inspection method using water under pressure to verify structural integrity,Technical,Standard engineering test; procedures and mandatory frequency vary by jurisdiction and equipment type.,Define test purpose; specify pressure requirements and frequency per Austrian standard and note target country differences.
35,Diving team composition,51169,Minimum staffing for diving operations (2 divers and 2 support persons per Austrian standard),Procedural,Team composition requirements vary internationally: some countries require 3 divers; different support roles and qualifications.,State minimum requirements per Austrian diving regulations; note differences for target countries.
36,Signalperson (diving),51169,Dedicated communication operator maintaining contact with underwater diver during diving operations,Procedural,Role terminology varies: dive tender / surface attendant / topside operator; responsibilities and training differ.,Define role and communication responsibilities; clarify training requirements and equivalent role name in target country.
37,Occupational disease,"51163, 51165, 51170",Work-related illness with specific legal causation criteria and mandatory reporting requirements,Legal,Definition of what constitutes an occupational disease and reporting timelines vary by country; lists of recognized conditions differ.,Clarify reporting timeline (5 days in Austria) and note recognized occupational disease lists differ by country.
38,Accident insurance institution,51170,Workers' compensation body responsible for occupational injury/illness coverage (AUVA in Austria),Organizational,Each country has a different system: AUVA (Austria) / DGUV (Germany) / HSE+insurers (UK) / OSHA+state funds (US).,Identify specific organization for target country and explain coverage and reporting structure.
39,Radiation Protection Ordinance,51171,Austrian regulation implementing EU Directive 2013/59/EURATOM on ionizing radiation protection,Regulatory,Austrian-specific; EU / US (NRC) / and other countries have different regulatory frameworks and dose limits.,Clarify this is an Austrian regulation implementing EU law; reference equivalent regulation in target country.
40,Dosimeter,51171,Personal radiation monitoring device worn by workers to measure individual radiation dose,Technical,Standard occupational radiation safety device; calibration standards and reporting requirements vary by country.,Define purpose and clarify connection to dose limit compliance monitoring.
41,Roof pitch / slope degrees,"51184, 51160",Angles (20° / 45° / 75°) triggering specific fall protection requirements under Austrian regulations,Technical,Austria-specific thresholds from Construction Workers Protection Ordinance; thresholds differ internationally (e.g. >7° or >15° in other systems).,State angle thresholds and corresponding safety measures explicitly per Austrian standard; note international differences.
42,Demarcation / restricted area,Multiple forms,Physical or administrative boundary limiting unauthorized access to hazard zones (noise / radiation / ATEX / chemical),Administrative,Signage colors and symbols and boundary marking requirements vary by country standard and hazard type.,Specify marking requirements (colors / symbols / distances) per target country standard; provide examples.
43,Hazard assessment / Risk assessment,Multiple forms,Systematic documented evaluation of workplace hazards and development of control measures,Procedural,Documentation requirements / assessment frequency / required detail level vary significantly by country and industry sector.,Clarify what must be documented and when reassessment is required per local regulations in target country.
44,Competent person,"51143, 51150, 51152, 51157, 51173, 51188",Person with required training knowledge and experience to perform specialized safety tasks or assessments,Procedural,Qualifications and certification requirements for competent status vary by country / task type / and industry (EU vs US vs Australia).,Define required qualifications for each specific task in target country; specify certifications or training needed.
45,Occupational health examination / Medical surveillance,"51163, 51165, 51171, 51180",Pre-employment and periodic health assessment for workers exposed to specific occupational hazards,Medical,Timing requirements / examination components / and record retention durations vary by country and hazard type.,Specify examination frequency and which hazards trigger mandatory medical surveillance in target country.
46,Construction Workers Protection Ordinance,Multiple Austrian forms,Austrian legal regulation (10008904) governing construction site safety and worker protection,Regulatory,Austrian-specific legislation; similar instruments exist in all countries but with different titles / scope / and requirements.,Identify equivalent construction safety regulation in target country and note significant differences from Austrian standard.
47,Workplace Ordinance,Multiple Austrian forms,Austrian legal instrument (10009098) governing workplace design equipment and environmental conditions,Regulatory,Austrian-specific; broadly similar to OSHA General Duty Clause or other countries workplace standards but with different specifics.,Reference equivalent workplace safety standard in target country.
48,Employee Protection Act,Multiple Austrian forms,Austrian primary occupational safety and health legislation (10008910),Regulatory,Austrian foundational OH&S law; equivalent to OSHA Act (US) / Health and Safety at Work Act (UK) / but differs in scope and requirements.,Identify primary OH&S legislation in target country and note major structural differences.
49,Work Equipment Ordinance,Multiple Austrian forms,Austrian legal instrument (20000727) governing safe provision and use of work equipment; implements EU Machinery Directive,Regulatory,Austrian-specific; implements EU Directive 2006/42/EC; non-EU countries have different machinery safety frameworks.,Note this implements EU Machinery Directive; identify equivalent machinery safety regulation in non-EU target countries.
50,Explosive Atmospheres Ordinance,"51158, 51152",Austrian legal instrument implementing EU ATEX Directive (2014/34/EU) for explosive atmosphere safety,Regulatory,EU-specific; non-EU countries use different frameworks: US (NFPA 70E / OSHA) / Australia (different AS standards).,Clarify ATEX applicability; reference equivalent explosive atmosphere safety framework in target jurisdiction.
51,Heat Protection Ordinance (Heat-V),51166,Austrian 2026 regulation on occupational heat stress and UV radiation protection,Regulatory,Newly adopted Austrian regulation; EU has no unified heat protection directive; US OSHA has no specific heat standard yet.,Explain this is a new Austrian regulation; identify heat stress management guidance for target country.
52,Electrical Safety Ordinance,51154,Austrian legal instrument implementing EU Low Voltage Directive (2014/35/EU),Regulatory,EU-specific; non-EU countries have different electrical safety standards: US (NFPA 70/NEC) / Australia (AS/NZS 3000).,Identify electrical safety standard applicable in target country.
53,Dangerous Goods Transport Act,51182,Austrian regulation implementing ADR (European Agreement on International Carriage of Dangerous Goods by Road),Regulatory,ADR is multilateral European agreement; non-European countries follow different systems: US (DOT HazMat) / Australia (ADG Code).,Note ADR scope; identify equivalent dangerous goods transport regulation for target country.
54,ADR,51182,Accord relatif au transport international des marchandises dangereuses par route (European Road Dangerous Goods Agreement),Regulatory,ADR is European multilateral agreement; provides classifications / packaging / documentation standards; non-EU countries often follow different frameworks.,Explain ADR as European standard; identify dangerous goods transport standard for target country.
55,VOLV,"51176, 51187",Austrian Noise and Vibration Regulation (BGBl. II 2006/22) transposing EU Noise/Vibration Directives,Regulatory,Austrian/EU regulation; non-EU countries have different occupational noise/vibration exposure limits and measurement standards.,Specify limits (85 dBA action level / 5 m/s² hand-arm vibration) and note these derive from EU Directives.
56,General Social Insurance Act,51170,Austrian legal framework (ASVG) governing occupational accident insurance and reporting to AUVA,Regulatory,Austrian workers' compensation system; each country has a different system for occupational accident insurance and reporting.,Reference occupational accident insurance system and reporting requirements in target country.
57,Compressed Air and Diving Work Ordinance,"51168, 51169",Austrian legal instrument (10008298) governing hyperbaric work / diving / and pressurized air operations,Regulatory,Austrian-specific; diving safety requirements vary by member state and internationally (IANTD / PADI / EN 14153 standards differ).,Identify international or national diving safety standards applicable in target country.
58,HSE approval (Linxon-specific),40082,Linxon internal vendor management system designation confirming supplier meets safety capability and sustainability requirements,Organizational,Specific to Linxon's procurement system; may be mistaken for a governmental certification if not clearly labeled.,Clarify explicitly that HSE approval is Linxon's internal certification — not a governmental or third-party certification.
59,Geosphere heat alert,51166,Austrian meteorological authority (GeoSphere Austria) heat warning levels used in the Heat Protection Ordinance,Organizational,GeoSphere Austria is the national meteorological service; other countries use different heat alert systems and thresholds.,Explain GeoSphere Austria as Austria's meteorological authority; identify equivalent service for target country.
60,Radiation Protection Register,51171,Official register maintained by radiation protection authority listing authorized radiation workers and their dose history,Regulatory,Structure / maintenance / and reporting requirements vary by national radiation protection authority and legislation.,Identify equivalent register or dose record system in target country and explain enrollment requirements.
